"Plot_clean","Date","Month","Site","Zone","Replicate","Plot_ID","TIMESTAMP","HM81_AIC","HM81_flux.estimate","HM81_p.value","HM81_r.squared","HM81_RMSE","lin_AIC","lin_flux.estimate","lin_flux.std.error","lin_int.estimate","lin_int.std.error","lin_p.value","lin_r.squared","lin_RMSE","poly_AIC","poly_r.squared","poly_RMSE","rob_AIC","rob_converged","rob_flux.estimate","rob_flux.std.error","rob_RMSE","TIMESTAMP_min","TIMESTAMP_max"
"2023-01-12_PTR_TR_1_26",2023-01-12,"Jan","PTR","TR",1,26,2023-01-12 11:25:29.5,-4397.98106663383,0.000183722634345889,1.38549392350156e-133,0.636668631382781,0.00617495734140301,-4880.4092496458,0.000108067919320859,1.9473030141208e-06,74.8687893973095,0.000336439451473767,4.71639048761566e-238,0.837404047020119,0.0041308305496796,-4920.1078465621,0.848825119978251,0.00398978775154136,-4880.14859532623,TRUE,0.000108088346828442,1.99174527290331e-06,0.00422110955252765,2023-01-12 11:23:00,2023-01-12 11:27:59
"2023-01-12_PTR_TR_2_27",2023-01-12,"Jan","PTR","TR",2,27,2023-01-12 11:41:49.5,NA,NA,NA,NA,NA,-6175.88641450735,0.000201699303362944,1.37229611169543e-06,74.7909657247436,0.000300478014276325,0,0.966101624425787,0.00414998090794303,-6343.7441542898,0.972962129615688,0.00371121915549708,-6175.46838826904,TRUE,0.000200998611543784,1.44484883391516e-06,0.00409253128387711,2023-01-12 11:38:40,2023-01-12 11:44:59
"2023-01-12_PTR_TR_3_28",2023-01-12,"Jan","PTR","TR",3,28,2023-01-12 11:55:29.5,-4116.16480591943,0.000383084222452397,8.6794736874073e-139,0.650926254255786,0.00780956182671606,-4979.27409486776,0.000145928522602981,1.79330085465075e-06,75.0022745508369,0.000309832189182196,0,0.917171871146181,0.00380414445078156,-4987.70102341718,0.918869726577911,0.00377126461556078,-4979.21905899531,TRUE,0.000145715226881607,1.82572936281762e-06,0.00412100984819098,2023-01-12 11:53:00,2023-01-12 11:57:59
"2023-01-12_PTR_TR_301_18",2023-01-12,"Jan","PTR","TR",301,18,2023-01-12 12:33:47,-3527.76588151343,0.000218095990214766,3.64402591422493e-104,0.589527531576448,0.00864486678510342,-4363.13013789446,0.000168416238996416,2.23207939925743e-06,76.0009106596592,0.000340536614002464,5.67621847625364e-285,0.915127520914351,0.00393097002997997,-4407.62251008777,0.922548274766069,0.00376232168754944,-4362.79139517059,TRUE,0.000168082553144933,2.24218377778619e-06,0.00402675409922086,2023-01-12 12:31:35,2023-01-12 12:35:59
"2023-01-12_PTR_TR_302_21",2023-01-12,"Jan","PTR","TR",302,21,2023-01-12 13:00:44.5,-3963.97960693204,0.000168797813373367,1.55352440688752e-116,0.624554110693786,0.00613963314510701,-4414.1822706312,0.000117389117625642,2.23428129392234e-06,76.8281705708568,0.000347322362855635,5.36911145538604e-214,0.836893115131682,0.00404673617611618,-4442.96218887679,0.846499754098821,0.00393307316912187,-4414.17258487228,TRUE,0.00011733088120146,2.37648180338553e-06,0.00404866975873319,2023-01-12 12:58:30,2023-01-12 13:02:59
"2023-01-12_PTR_TR_303_20",2023-01-12,"Jan","PTR","TR",303,20,2023-01-12 13:20:49.5,-3777.69130132131,-0.000172087068439742,1.16992791712395e-99,0.580058373112877,0.00637624150283323,-4359.84178365833,-0.000121545306390133,2.12854511562671e-06,76.2987297926358,0.000318596349622009,1.13818040400434e-225,0.862915769280069,0.00364304087625535,-4359.27912089929,0.86381894382529,0.00363805007663926,-4359.60246691353,TRUE,-0.000121763746780774,2.18227945111399e-06,0.00378398709488434,2023-01-12 13:18:40,2023-01-12 13:22:59
"2023-01-12_PTR_TR_304_25",2023-01-12,"Jan","PTR","TR",304,25,2023-01-12 11:23:44.5,NA,NA,NA,NA,NA,-1387.76111357988,-0.000573137613757485,3.17194591454401e-05,75.2750104067387,0.00273324697828543,8.49554836511359e-50,0.522808540581968,0.0237890656955535,-1752.22984870065,0.860273257540292,0.0129161505396095,-1387.739910214,TRUE,-0.000577073147304848,3.37729842029137e-05,0.0290852459444099,2023-01-12 11:22:30,2023-01-12 11:24:59
"2023-01-12_PTR_TR_305_22",2023-01-12,"Jan","PTR","TR",305,22,2023-01-12 12:54:44.5,NA,NA,NA,NA,NA,-4450.23635558708,9.7145542804957e-05,2.16092462156217e-06,76.7777099318345,0.000335918958617922,2.49382538216341e-184,0.789761705636378,0.00391387237753949,-4468.81040214649,0.798369294720761,0.00384005836755053,-4449.72156314227,TRUE,9.83853826177295e-05,2.26744921141637e-06,0.00358897383655376,2023-01-12 12:52:30,2023-01-12 12:56:59
"2023-01-12_PTR_TR_306_23",2023-01-12,"Jan","PTR","TR",306,23,2023-01-12 12:43:47,-2045.16341987536,0.000868557516822794,4.47390373311667e-125,0.657889976515628,0.035010474114223,-4366.30471894619,0.000779307790744842,2.22540457209847e-06,76.1514018003225,0.000339518270730034,0,0.995712857160072,0.00391921482739807,-4362.87989344403,0.995717507193464,0.00392452864132301,-4366.19600841128,TRUE,0.000778838571122182,2.29273322808043e-06,0.00345650616896415,2023-01-12 12:41:35,2023-01-12 12:45:59
"2023-01-12_PTR_TR_307_24",2023-01-12,"Jan","PTR","TR",307,24,2023-01-12 13:29:39.359431,NA,NA,NA,NA,NA,-2826.43535571237,0.000624907872387934,1.01926943545664e-05,76.1860709665517,0.00164151700633425,1.40447090859514e-250,0.870335591818234,0.0195043788735199,-4388.38914551686,0.992007089243319,0.00485122178065031,-2821.97249542148,TRUE,0.000606425252714698,1.03522800648841e-05,0.0222788984173767,2023-01-12 13:27:20,2023-01-12 13:31:59
